stem,course_id,semester,crn,source_file,chunk_size_setting,overlap_setting,input_tokens,chunk_count,avg_chunk_tokens,min_chunk_tokens,max_chunk_tokens,status,error,processed_at
202611_CSCE_608_600_46648_v010,CSCE_608,202611,46648,202611_CSCE_608_600_46648_v010.md,300,50,1014,4,289,268,314,ok,,2026-03-26T06:46:50+00:00
202611_CSCE_611_600_50668_v010,CSCE_611,202611,50668,202611_CSCE_611_600_50668_v010.md,300,50,2956,10,342,284,378,ok,,2026-03-26T06:46:50+00:00
202611_CSCE_612_600_42640_v010,CSCE_612,202611,42640,202611_CSCE_612_600_42640_v010.md,300,50,1384,5,318,280,375,ok,,2026-03-26T06:46:50+00:00
202611_CSCE_614_600_42743_v010,CSCE_614,202611,42743,202611_CSCE_614_600_42743_v010.md,300,50,1814,6,342,292,387,ok,,2026-03-26T06:46:50+00:00
202611_CSCE_624_600_58435_v010,CSCE_624,202611,58435,202611_CSCE_624_600_58435_v010.md,300,50,1740,6,330,287,359,ok,,2026-03-26T06:46:51+00:00
202611_CSCE_629_600_54978_v010,CSCE_629,202611,54978,202611_CSCE_629_600_54978_v010.md,300,50,1085,4,310,275,332,ok,,2026-03-26T06:46:51+00:00
202611_CSCE_632_600_54784_v010,CSCE_632,202611,54784,202611_CSCE_632_600_54784_v010.md,300,50,4340,15,337,233,368,ok,,2026-03-26T06:46:51+00:00
202611_CSCE_633_601_58706_v010,CSCE_633,202611,58706,202611_CSCE_633_601_58706_v010.md,300,50,1352,5,312,281,342,ok,,2026-03-26T06:46:51+00:00
202611_CSCE_635_600_46646_v010,CSCE_635,202611,46646,202611_CSCE_635_600_46646_v010.md,300,50,1461,5,332,302,366,ok,,2026-03-26T06:46:51+00:00
202611_CSCE_638_600_54988_v006,CSCE_638,202611,54988,202611_CSCE_638_600_54988_v006.md,300,50,949,3,358,321,385,ok,,2026-03-26T06:46:51+00:00
202611_CSCE_638_600_54988_v010,CSCE_638,202611,54988,202611_CSCE_638_600_54988_v010.md,300,50,857,3,324,289,346,ok,,2026-03-26T06:46:51+00:00
202611_CSCE_641_600_58437_v010,CSCE_641,202611,58437,202611_CSCE_641_600_58437_v010.md,300,50,1483,5,336,301,369,ok,,2026-03-26T06:46:51+00:00
202611_CSCE_648_600_60319_v010,CSCE_648,202611,60319,202611_CSCE_648_600_60319_v010.md,300,50,2802,10,324,271,344,ok,,2026-03-26T06:46:51+00:00
202611_CSCE_652_600_34516_v010,CSCE_652,202611,34516,202611_CSCE_652_600_34516_v010.md,300,50,1127,4,328,286,351,ok,,2026-03-26T06:46:51+00:00
202611_CSCE_656_600_42432_v010,CSCE_656,202611,42432,202611_CSCE_656_600_42432_v010.md,300,50,962,4,279,263,300,ok,,2026-03-26T06:46:51+00:00
202611_CSCE_665_600_30874_v010,CSCE_665,202611,30874,202611_CSCE_665_600_30874_v010.md,300,50,940,3,350,316,375,ok,,2026-03-26T06:46:51+00:00
202611_CSCE_669_600_58438_v010,CSCE_669,202611,58438,202611_CSCE_669_600_58438_v010.md,300,50,1169,4,327,299,340,ok,,2026-03-26T06:46:51+00:00
202611_CSCE_670_600_46627_v006,CSCE_670,202611,46627,202611_CSCE_670_600_46627_v006.md,300,50,1661,6,320,282,344,ok,,2026-03-26T06:46:51+00:00
202611_CSCE_670_600_46627_v010,CSCE_670,202611,46627,202611_CSCE_670_600_46627_v010.md,300,50,1569,6,306,276,330,ok,,2026-03-26T06:46:51+00:00
202611_CSCE_672_600_58439_v010,CSCE_672,202611,58439,202611_CSCE_672_600_58439_v010.md,300,50,928,3,345,334,363,ok,,2026-03-26T06:46:51+00:00
202611_CSCE_676_600_58440_v010,CSCE_676,202611,58440,202611_CSCE_676_600_58440_v010.md,300,50,1610,6,306,262,334,ok,,2026-03-26T06:46:51+00:00
202611_CSCE_679_600_55144_v010,CSCE_679,202611,55144,202611_CSCE_679_600_55144_v010.md,300,50,1739,6,337,300,363,ok,,2026-03-26T06:46:51+00:00
202611_CSCE_681_600_12644_v010,CSCE_681,202611,12644,202611_CSCE_681_600_12644_v010.md,300,50,2082,7,338,284,357,ok,,2026-03-26T06:46:51+00:00
202611_CSCE_713_600_58633_v010,CSCE_713,202611,58633,202611_CSCE_713_600_58633_v010.md,300,50,2190,7,371,317,450,ok,,2026-03-26T06:46:51+00:00
202611_CSCE_726_600_58445_v010,CSCE_726,202611,58445,202611_CSCE_726_600_58445_v010.md,300,50,2067,7,340,314,356,ok,,2026-03-26T06:46:51+00:00
202611_CSCE_748_600_46626_v010,CSCE_748,202611,46626,202611_CSCE_748_600_46626_v010.md,300,50,1320,5,302,268,328,ok,,2026-03-26T06:46:51+00:00
202611_CSCE_752_600_58432_v010,CSCE_752,202611,58432,202611_CSCE_752_600_58432_v010.md,300,50,2965,10,339,260,359,ok,,2026-03-26T06:46:51+00:00
