version,file,input_file,output_file,course_id,section,crn,chunk_count,chunk_size_setting,overlap_setting,input_tokens,avg_chunk_tokens,llm_status,llm_error,processed_at,status
v004,202611_CSCE_638_600_54988_v004.json,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step2_boilerplate/202611_CSCE_638_600_54988_v004.md"", ""202611_CSCE_638_600_54988_v004.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202611_CSCE_638_600_54988_v004.json"", ""202611_CSCE_638_600_54988_v004.json"")",CSCE 638,600,54988,2,600,100,949,542,ok,,2026-03-10T05:47:56.734687,
v004,202611_CSCE_670_600_46627_v004.json,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step2_boilerplate/202611_CSCE_670_600_46627_v004.md"", ""202611_CSCE_670_600_46627_v004.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202611_CSCE_670_600_46627_v004.json"", ""202611_CSCE_670_600_46627_v004.json"")",CSCE 670,600,46627,3,600,100,1661,623,ok,,2026-03-10T05:48:02.888742,
v004,202541_CSCE_605_600_62077_v004.json,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step2_boilerplate/202541_CSCE_605_600_62077_v004.md"", ""202541_CSCE_605_600_62077_v004.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202541_CSCE_605_600_62077_v004.json"", ""202541_CSCE_605_600_62077_v004.json"")",CSCE 605,600,62077,12,600,100,7179,692,ok,,2026-03-10T05:48:03.313591,
v004,202541_ISEN_620_601_52745_v004.json,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step2_boilerplate/202541_ISEN_620_601_52745_v004.md"", ""202541_ISEN_620_601_52745_v004.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202541_ISEN_620_601_52745_v004.json"", ""202541_ISEN_620_601_52745_v004.json"")",ISEN 620,601,52745,9,600,100,5435,702,ok,,2026-03-10T05:48:03.607631,
v004,202611_ISEN_637_600_59851_v004.json,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step2_boilerplate/202611_ISEN_637_600_59851_v004.md"", ""202611_ISEN_637_600_59851_v004.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202611_ISEN_637_600_59851_v004.json"", ""202611_ISEN_637_600_59851_v004.json"")",ISEN 637,600,59851,1,600,100,586,593,ok,,2026-03-10T05:48:03.881843,
v005,202611_CSCE_638_600_54988_v005.json,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step2_boilerplate/202611_CSCE_638_600_54988_v005.md"", ""202611_CSCE_638_600_54988_v005.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202611_CSCE_638_600_54988_v005.json"", ""202611_CSCE_638_600_54988_v005.json"")",CSCE 638,600,54988,2,600,100,949,542,ok,,2026-03-10T05:57:19.769556,
v005,202611_CSCE_670_600_46627_v005.json,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step2_boilerplate/202611_CSCE_670_600_46627_v005.md"", ""202611_CSCE_670_600_46627_v005.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202611_CSCE_670_600_46627_v005.json"", ""202611_CSCE_670_600_46627_v005.json"")",CSCE 670,600,46627,3,600,100,1661,623,ok,,2026-03-10T05:57:20.150668,
v005,202541_CSCE_605_600_62077_v005.json,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step2_boilerplate/202541_CSCE_605_600_62077_v005.md"", ""202541_CSCE_605_600_62077_v005.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202541_CSCE_605_600_62077_v005.json"", ""202541_CSCE_605_600_62077_v005.json"")",CSCE 605,600,62077,12,600,100,7179,692,ok,,2026-03-10T05:57:24.238982,
v005,202541_ISEN_620_601_52745_v005.json,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step2_boilerplate/202541_ISEN_620_601_52745_v005.md"", ""202541_ISEN_620_601_52745_v005.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202541_ISEN_620_601_52745_v005.json"", ""202541_ISEN_620_601_52745_v005.json"")",ISEN 620,601,52745,9,600,100,5435,702,ok,,2026-03-10T05:57:28.433033,
v005,202611_ISEN_637_600_59851_v005.json,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step2_boilerplate/202611_ISEN_637_600_59851_v005.md"", ""202611_ISEN_637_600_59851_v005.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202611_ISEN_637_600_59851_v005.json"", ""202611_ISEN_637_600_59851_v005.json"")",ISEN 637,600,59851,1,600,100,586,593,ok,,2026-03-10T05:57:32.548353,
