version,file,source_file,output_file,file_size_kb,status,error,copied_at
v004,202611_CSCE_638_600_54988_v004.pdf,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_CSCE_638_600_54988.pdf"", ""202611_CSCE_638_600_54988.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step0_source/202611_CSCE_638_600_54988_v004.pdf"", ""202611_CSCE_638_600_54988_v004.pdf"")",261.5,ok,,2026-03-10T05:47:55.913969
v004,202611_CSCE_670_600_46627_v004.pdf,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_CSCE_670_600_46627.pdf"", ""202611_CSCE_670_600_46627.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step0_source/202611_CSCE_670_600_46627_v004.pdf"", ""202611_CSCE_670_600_46627_v004.pdf"")",264.1,ok,,2026-03-10T05:47:56.746501
v004,202541_CSCE_605_600_62077_v004.pdf,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_605_600_62077.pdf"", ""202541_CSCE_605_600_62077.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step0_source/202541_CSCE_605_600_62077_v004.pdf"", ""202541_CSCE_605_600_62077_v004.pdf"")",323.7,ok,,2026-03-10T05:48:02.899942
v004,202541_ISEN_620_601_52745_v004.pdf,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_ISEN_620_601_52745.pdf"", ""202541_ISEN_620_601_52745.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step0_source/202541_ISEN_620_601_52745_v004.pdf"", ""202541_ISEN_620_601_52745_v004.pdf"")",355.6,ok,,2026-03-10T05:48:03.323761
v004,202611_ISEN_637_600_59851_v004.pdf,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_ISEN_637_600_59851.pdf"", ""202611_ISEN_637_600_59851.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step0_source/202611_ISEN_637_600_59851_v004.pdf"", ""202611_ISEN_637_600_59851_v004.pdf"")",174.1,ok,,2026-03-10T05:48:03.618493
v005,202611_CSCE_638_600_54988_v005.pdf,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_CSCE_638_600_54988.pdf"", ""202611_CSCE_638_600_54988.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step0_source/202611_CSCE_638_600_54988_v005.pdf"", ""202611_CSCE_638_600_54988_v005.pdf"")",261.5,ok,,2026-03-10T05:57:15.570682
v005,202611_CSCE_670_600_46627_v005.pdf,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_CSCE_670_600_46627.pdf"", ""202611_CSCE_670_600_46627.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step0_source/202611_CSCE_670_600_46627_v005.pdf"", ""202611_CSCE_670_600_46627_v005.pdf"")",264.1,ok,,2026-03-10T05:57:19.779724
v005,202541_CSCE_605_600_62077_v005.pdf,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_605_600_62077.pdf"", ""202541_CSCE_605_600_62077.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step0_source/202541_CSCE_605_600_62077_v005.pdf"", ""202541_CSCE_605_600_62077_v005.pdf"")",323.7,ok,,2026-03-10T05:57:20.163820
v005,202541_ISEN_620_601_52745_v005.pdf,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_ISEN_620_601_52745.pdf"", ""202541_ISEN_620_601_52745.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step0_source/202541_ISEN_620_601_52745_v005.pdf"", ""202541_ISEN_620_601_52745_v005.pdf"")",355.6,ok,,2026-03-10T05:57:24.250079
v005,202611_ISEN_637_600_59851_v005.pdf,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_ISEN_637_600_59851.pdf"", ""202611_ISEN_637_600_59851.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step0_source/202611_ISEN_637_600_59851_v005.pdf"", ""202611_ISEN_637_600_59851_v005.pdf"")",174.1,ok,,2026-03-10T05:57:28.445901
v006,202611_CSCE_638_600_54988_v006.pdf,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_CSCE_638_600_54988.pdf"", ""202611_CSCE_638_600_54988.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step0_source/202611_CSCE_638_600_54988_v006.pdf"", ""202611_CSCE_638_600_54988_v006.pdf"")",261.5,ok,,2026-03-10T05:58:10.426035
v006,202611_CSCE_670_600_46627_v006.pdf,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_CSCE_670_600_46627.pdf"", ""202611_CSCE_670_600_46627.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step0_source/202611_CSCE_670_600_46627_v006.pdf"", ""202611_CSCE_670_600_46627_v006.pdf"")",264.1,ok,,2026-03-10T05:58:11.151735
v006,202541_CSCE_605_600_62077_v006.pdf,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_605_600_62077.pdf"", ""202541_CSCE_605_600_62077.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step0_source/202541_CSCE_605_600_62077_v006.pdf"", ""202541_CSCE_605_600_62077_v006.pdf"")",323.7,ok,,2026-03-10T05:58:16.486410
v006,202541_ISEN_620_601_52745_v006.pdf,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_ISEN_620_601_52745.pdf"", ""202541_ISEN_620_601_52745.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step0_source/202541_ISEN_620_601_52745_v006.pdf"", ""202541_ISEN_620_601_52745_v006.pdf"")",355.6,ok,,2026-03-10T05:58:16.812931
v006,202611_ISEN_637_600_59851_v006.pdf,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_ISEN_637_600_59851.pdf"", ""202611_ISEN_637_600_59851.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step0_source/202611_ISEN_637_600_59851_v006.pdf"", ""202611_ISEN_637_600_59851_v006.pdf"")",174.1,ok,,2026-03-10T05:58:17.218130
v008,202541_CSCE_222_502_57920_v008.pdf,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_222_502_57920.pdf"", ""202541_CSCE_222_502_57920.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step0_source/202541_CSCE_222_502_57920_v008.pdf"", ""202541_CSCE_222_502_57920_v008.pdf"")",467.5,ok,,2026-03-10T21:43:14.656141
