version,file,source_pdf,output_file,body_font_size_pt,annotated_lines,plain_lines,output_tokens,page_count,status,error,processed_at
v004,202611_CSCE_638_600_54988_v004.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_CSCE_638_600_54988.pdf"", ""202611_CSCE_638_600_54988.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step1_markdown/202611_CSCE_638_600_54988_v004.md"", ""202611_CSCE_638_600_54988_v004.md"")",11.0,40,273,3885,11,ok,,2026-03-10T05:47:55.964675
v004,202611_CSCE_670_600_46627_v004.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_CSCE_670_600_46627.pdf"", ""202611_CSCE_670_600_46627.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step1_markdown/202611_CSCE_670_600_46627_v004.md"", ""202611_CSCE_670_600_46627_v004.md"")",11.0,43,282,4606,12,ok,,2026-03-10T05:47:56.789183
v004,202541_CSCE_605_600_62077_v004.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_605_600_62077.pdf"", ""202541_CSCE_605_600_62077.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step1_markdown/202541_CSCE_605_600_62077_v004.md"", ""202541_CSCE_605_600_62077_v004.md"")",11.0,48,600,9981,24,ok,,2026-03-10T05:48:03.009771
v004,202541_ISEN_620_601_52745_v004.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_ISEN_620_601_52745.pdf"", ""202541_ISEN_620_601_52745.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step1_markdown/202541_ISEN_620_601_52745_v004.md"", ""202541_ISEN_620_601_52745_v004.md"")",10.5,285,237,6238,15,ok,,2026-03-10T05:48:03.390648
v004,202611_ISEN_637_600_59851_v004.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_ISEN_637_600_59851.pdf"", ""202611_ISEN_637_600_59851.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step1_markdown/202611_ISEN_637_600_59851_v004.md"", ""202611_ISEN_637_600_59851_v004.md"")",11.0,30,221,3612,10,ok,,2026-03-10T05:48:03.662837
v005,202611_CSCE_638_600_54988_v005.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_CSCE_638_600_54988.pdf"", ""202611_CSCE_638_600_54988.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step1_markdown/202611_CSCE_638_600_54988_v005.md"", ""202611_CSCE_638_600_54988_v005.md"")",11.0,40,273,3885,11,ok,,2026-03-10T05:57:15.622351
v005,202611_CSCE_670_600_46627_v005.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_CSCE_670_600_46627.pdf"", ""202611_CSCE_670_600_46627.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step1_markdown/202611_CSCE_670_600_46627_v005.md"", ""202611_CSCE_670_600_46627_v005.md"")",11.0,43,282,4606,12,ok,,2026-03-10T05:57:19.821663
v005,202541_CSCE_605_600_62077_v005.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_605_600_62077.pdf"", ""202541_CSCE_605_600_62077.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step1_markdown/202541_CSCE_605_600_62077_v005.md"", ""202541_CSCE_605_600_62077_v005.md"")",11.0,48,600,9981,24,ok,,2026-03-10T05:57:20.262488
v005,202541_ISEN_620_601_52745_v005.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_ISEN_620_601_52745.pdf"", ""202541_ISEN_620_601_52745.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step1_markdown/202541_ISEN_620_601_52745_v005.md"", ""202541_ISEN_620_601_52745_v005.md"")",10.5,285,237,6238,15,ok,,2026-03-10T05:57:24.308392
v005,202611_ISEN_637_600_59851_v005.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_ISEN_637_600_59851.pdf"", ""202611_ISEN_637_600_59851.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step1_markdown/202611_ISEN_637_600_59851_v005.md"", ""202611_ISEN_637_600_59851_v005.md"")",11.0,30,221,3612,10,ok,,2026-03-10T05:57:28.487928
v006,202611_CSCE_638_600_54988_v006.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_CSCE_638_600_54988.pdf"", ""202611_CSCE_638_600_54988.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step1_markdown/202611_CSCE_638_600_54988_v006.md"", ""202611_CSCE_638_600_54988_v006.md"")",11.0,40,273,3885,11,ok,,2026-03-10T05:58:10.475008
v006,202611_CSCE_670_600_46627_v006.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_CSCE_670_600_46627.pdf"", ""202611_CSCE_670_600_46627.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step1_markdown/202611_CSCE_670_600_46627_v006.md"", ""202611_CSCE_670_600_46627_v006.md"")",11.0,43,282,4606,12,ok,,2026-03-10T05:58:11.202445
