version,file,input_file,output_file,stripped_file,sections_stripped,tokens_stripped,tokens_remaining,reduction_pct,stripped_headers,new_bp_candidates,largest_strip_tokens,largest_strip_header,smallest_strip_tokens,smallest_strip_header,strip_type_counts,status,processed_at
v004,202611_CSCE_638_600_54988_v004.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step1_markdown/202611_CSCE_638_600_54988_v004.md"", ""202611_CSCE_638_600_54988_v004.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step2_boilerplate/202611_CSCE_638_600_54988_v004.md"", ""202611_CSCE_638_600_54988_v004.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step2_boilerplate/202611_CSCE_638_600_54988_v004_stripped.md"", ""202611_CSCE_638_600_54988_v004_stripped.md"")",16,2838,1002,73.9,"[DEPT_HEADER] College of Engineering | [DEPT_HEADER] Computer Science and Engineering | [TECH_SUPPORT] Technology Support | [TECH_SUPPORT] Canvas LMS Technical Support | [TAMU_POLICY] University Policies | [TAMU_POLICY] Academic Integrity Statement and Policy | [TAMU_POLICY] University Attendance Policy | [TAMU_POLICY] Makeup Work Policy | [TAMU_POLICY] Notice of Nondiscrimination | [TAMU_POLICY] Civil Rights, Free Speech, and Title IX Policies | [TAMU_POLICY] Americans with Disabilities Act (ADA) Policy | [TAMU_POLICY] Pregnancy Accommodations | [TAMU_POLICY] Statement on Mental Health and Wellness | [TAMU_POLICY] Statement on the Family Educational Rights and | [TAMU_POLICY] Privacy Act (FERPA) | [TAMU_POLICY] Free Speech and Civil Discourse",Grading Policy | Late Work Policy | Course Specific Late Work Policy | Support is available by clicking the Help button at the far left in the Canvas global | Canvas Resources are also linked on the home page of every Canvas course.,500,Americans with Disabilities Act (ADA) Policy,5,College of Engineering,"TAMU_POLICY:12,DEPT_HEADER:2,TECH_SUPPORT:2",ok,2026-03-10T05:47:55.975247
v004,202611_CSCE_670_600_46627_v004.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step1_markdown/202611_CSCE_670_600_46627_v004.md"", ""202611_CSCE_670_600_46627_v004.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step2_boilerplate/202611_CSCE_670_600_46627_v004.md"", ""202611_CSCE_670_600_46627_v004.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step2_boilerplate/202611_CSCE_670_600_46627_v004_stripped.md"", ""202611_CSCE_670_600_46627_v004_stripped.md"")",16,2838,1723,62.2,"[DEPT_HEADER] College of Engineering | [DEPT_HEADER] Computer Science and Engineering | [TECH_SUPPORT] Technology Support | [TECH_SUPPORT] Canvas LMS Technical Support | [TAMU_POLICY] University Policies | [TAMU_POLICY] Academic Integrity Statement and Policy | [TAMU_POLICY] University Attendance Policy | [TAMU_POLICY] Makeup Work Policy | [TAMU_POLICY] Notice of Nondiscrimination | [TAMU_POLICY] Civil Rights, Free Speech, and Title IX Policies | [TAMU_POLICY] Americans with Disabilities Act (ADA) Policy | [TAMU_POLICY] Pregnancy Accommodations | [TAMU_POLICY] Statement on Mental Health and Wellness | [TAMU_POLICY] Statement on the Family Educational Rights and | [TAMU_POLICY] Privacy Act (FERPA) | [TAMU_POLICY] Free Speech and Civil Discourse",Grading Policy | Late Work Policy | Course Specific Late Work Policy | Support is available by clicking the Help button at the far left in the Canvas global | Canvas Resources are also linked on the home page of every Canvas course.,500,Americans with Disabilities Act (ADA) Policy,5,College of Engineering,"TAMU_POLICY:12,DEPT_HEADER:2,TECH_SUPPORT:2",ok,2026-03-10T05:47:56.798933
v004,202541_CSCE_605_600_62077_v004.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step1_markdown/202541_CSCE_605_600_62077_v004.md"", ""202541_CSCE_605_600_62077_v004.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step2_boilerplate/202541_CSCE_605_600_62077_v004.md"", ""202541_CSCE_605_600_62077_v004.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step2_boilerplate/202541_CSCE_605_600_62077_v004_stripped.md"", ""202541_CSCE_605_600_62077_v004_stripped.md"")",15,2710,7230,27.3,"[DEPT_HEADER] College of Engineering | [DEPT_HEADER] Computer Science and Engineering | [TECH_SUPPORT] Learning Resources | [TAMU_POLICY] University Policies | [TAMU_POLICY] University Attendance Policy | [TAMU_POLICY] Makeup Work Policy | [TAMU_POLICY] Academic Integrity Statement and Policy | [TAMU_POLICY] Notice of Nondiscrimination | [TAMU_POLICY] Civil Rights, Free Speech, and Title IX Policies | [TAMU_POLICY] Americans with Disabilities Act (ADA) Policy | [TAMU_POLICY] Pregnancy Accommodations | [TAMU_POLICY] Statement on Mental Health and Wellness | [TAMU_POLICY] Statement on the Family Educational Rights and | [TAMU_POLICY] Privacy Act (FERPA) | [TAMU_POLICY] Free Speech and Civil Discourse",Grading Policy | Makeup Exam Policy | Incomplete Grade Policy | Deviations from the grading policy | Late Work Policy | Course Specific Late Work Policy | Course Material Policy,500,Americans with Disabilities Act (ADA) Policy,4,Learning Resources,"TAMU_POLICY:12,DEPT_HEADER:2,TECH_SUPPORT:1",ok,2026-03-10T05:48:03.022713
v004,202541_ISEN_620_601_52745_v004.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step1_markdown/202541_ISEN_620_601_52745_v004.md"", ""202541_ISEN_620_601_52745_v004.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step2_boilerplate/202541_ISEN_620_601_52745_v004.md"", ""202541_ISEN_620_601_52745_v004.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step2_boilerplate/202541_ISEN_620_601_52745_v004_stripped.md"", ""202541_ISEN_620_601_52745_v004_stripped.md"")",17,130,6065,2.1,"[DEPT_HEADER] College of Engineering | [DEPT_HEADER] Industrial and Systems Engineering | [TECH_SUPPORT] Technology Support | [TECH_SUPPORT] Technology Services (IT) - Main Campus | [TECH_SUPPORT] Canvas LMS Technical Support | [TAMU_POLICY] University Policies | [TAMU_POLICY] University Attendance Policy | [TAMU_POLICY] Makeup Work Policy | [TAMU_POLICY] Academic Integrity Statement and Policy | [TAMU_POLICY] Notice of Nondiscrimination | [TAMU_POLICY] Civil Rights, Free Speech, and Title IX Policies | [TAMU_POLICY] Americans with Disabilities Act (ADA) Policy | [TAMU_POLICY] Pregnancy Accommodations | [TAMU_POLICY] Statement on Mental Health and Wellness | [TAMU_POLICY] Statement on the Family Educational Rights and | [TAMU_POLICY] Privacy Act (FERPA) | [TAMU_POLICY] Free Speech and Civil Discourse","on   Canvas  ( for   Windows ,  Mac ,  and   Linux ).  You   must   ensure   access | Grading Policy | Late Work Policy | Work submitted by a student as makeup work for an excused absence is not | considered late work and is exempt from the late work policy ( Student Rule 7 ). | Course Specific Late Work Policy | Support is available by clicking the Help button at the far left in the Canvas global | Canvas Resources are also linked on the home page of every Canvas course. | This section outlines the university-level policies that must be included in each | course syllabus. The TAMU Faculty Senate established the wording of these policies. | The university views class attendance and participation as an individual student | when attendance contributes to a student’s grade, for the reasons stated in | Please refer to  Student Rule 7  in its entirety for information about makeup work, | Absences related to Title IX of the Education Amendments of 1972 may necessitate | disability, genetic information, or veteran status. | complaints of discrimination, harassment (including sexual harassment), complicity, | accordance with Title IX and its implementing regulations, Texas A&M does not | regarding the non-discrimination policies: Jennifer M. Smith, TAMU Associate VP & | Title IX Coordinator at YMCA Ste 108, College Station, TX 77843, 979-458-8407, or | Education Office for Civil Rights Complaint Assessment System  to locate the | and productive for all. University policies and federal and state laws prohibit | discrimination and harassment based on an individual’s race, color, sex, (including | pregnancy and related conditions), religion, national origin, age, disability, genetic | includes forms of sex-based violence, such as sexual assault, sexual harassment, | Students can report discrimination/harassment, access supportive resources, or | Rights & Title IX webpage . | discrimination/harassment alleged to have been committed by or against a person | disability or think you may have a disability, please contact the Disability Resources | limited to, attentional, learning, mental health, sensory, physical, or chronic health | conditions. All students are encouraged to discuss their disability-related needs | with Disability Resources and their instructors as soon as possible. | To request academic accommodations, contact the designated ADA office based on | McAllen and Texas A&M University at Galveston should contact Disability | Resources at (979) 845-1637 or  disability@tamu.edu . | Affairs at (817) 212-4111 or  law-disability@law.tamu.edu  to request | accommodations. | Disability Resource Center at Texas A&M University-Kingsville at (361) 593- | 3024 or  drc.center@tamuk.edu  to request accommodations. | If you are experiencing difficulties with your approved accommodations, contact the | office responsible for approving your accommodations or the Texas A&M ADA | Coordinator Julie Kuder at  ADA.Coordinator@tamu.edu  or (979) 458-8407. | Texas A&M provides reasonable accommodations to students due to pregnancy | aware of the need for accommodation. Depending on the circumstances, | accommodations could include extended time to complete assignments or exams, | equitable resolution of complaints of sex discrimination. For information regarding | pregnancy accommodations, email  TIX.Pregnancy@tamu.edu . | Texas A&M University recognizes that mental health and wellness are critical factors | experiencing a life-threatening situation or if your safety is at risk. 24-hour | FERPA is a federal law designed to protect the privacy of educational records by | Form. The complete  FERPA Notice to Students  and the student records policy is | be made in this class to protect your privacy and to ensure confidential treatment | attendance, program of study (college, major, campus), classification, previous",12,"Civil Rights, Free Speech, and Title IX Policies",4,Technology Support,"TAMU_POLICY:12,TECH_SUPPORT:3,DEPT_HEADER:2",ok,2026-03-10T05:48:03.410420
v004,202611_ISEN_637_600_59851_v004.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step1_markdown/202611_ISEN_637_600_59851_v004.md"", ""202611_ISEN_637_600_59851_v004.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step2_boilerplate/202611_ISEN_637_600_59851_v004.md"", ""202611_ISEN_637_600_59851_v004.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step2_boilerplate/202611_ISEN_637_600_59851_v004_stripped.md"", ""202611_ISEN_637_600_59851_v004_stripped.md"")",16,2955,614,82.8,"[DEPT_HEADER] College of Engineering | [DEPT_HEADER] Industrial and Systems Engineering | [INSTITUTIONAL] Additional Course Details | [TECH_SUPPORT] Technology Support | [TAMU_POLICY] University Policies | [TAMU_POLICY] Academic Integrity Statement and Policy | [TAMU_POLICY] University Attendance Policy | [TAMU_POLICY] Makeup Work Policy | [TAMU_POLICY] Notice of Nondiscrimination | [TAMU_POLICY] Civil Rights, Free Speech, and Title IX Policies | [TAMU_POLICY] Americans with Disabilities Act (ADA) Policy | [TAMU_POLICY] Pregnancy Accommodations | [TAMU_POLICY] Statement on Mental Health and Wellness | [TAMU_POLICY] Statement on the Family Educational Rights and | [TAMU_POLICY] Privacy Act (FERPA) | [TAMU_POLICY] Free Speech and Civil Discourse",Grading Policy | Late Work Policy | Course Specific Late Work Policy,500,Americans with Disabilities Act (ADA) Policy,5,College of Engineering,"TAMU_POLICY:12,DEPT_HEADER:2,INSTITUTIONAL:1,TECH_SUPPORT:1",ok,2026-03-10T05:48:03.673706
v005,202611_CSCE_638_600_54988_v005.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step1_markdown/202611_CSCE_638_600_54988_v005.md"", ""202611_CSCE_638_600_54988_v005.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step2_boilerplate/202611_CSCE_638_600_54988_v005.md"", ""202611_CSCE_638_600_54988_v005.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step2_boilerplate/202611_CSCE_638_600_54988_v005_stripped.md"", ""202611_CSCE_638_600_54988_v005_stripped.md"")",16,2838,1002,73.9,"[DEPT_HEADER] College of Engineering | [DEPT_HEADER] Computer Science and Engineering | [TECH_SUPPORT] Technology Support | [TECH_SUPPORT] Canvas LMS Technical Support | [TAMU_POLICY] University Policies | [TAMU_POLICY] Academic Integrity Statement and Policy | [TAMU_POLICY] University Attendance Policy | [TAMU_POLICY] Makeup Work Policy | [TAMU_POLICY] Notice of Nondiscrimination | [TAMU_POLICY] Civil Rights, Free Speech, and Title IX Policies | [TAMU_POLICY] Americans with Disabilities Act (ADA) Policy | [TAMU_POLICY] Pregnancy Accommodations | [TAMU_POLICY] Statement on Mental Health and Wellness | [TAMU_POLICY] Statement on the Family Educational Rights and | [TAMU_POLICY] Privacy Act (FERPA) | [TAMU_POLICY] Free Speech and Civil Discourse",Grading Policy | Late Work Policy | Course Specific Late Work Policy | Support is available by clicking the Help button at the far left in the Canvas global | Canvas Resources are also linked on the home page of every Canvas course.,500,Americans with Disabilities Act (ADA) Policy,5,College of Engineering,"TAMU_POLICY:12,DEPT_HEADER:2,TECH_SUPPORT:2",ok,2026-03-10T05:57:15.635830
v005,202611_CSCE_670_600_46627_v005.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step1_markdown/202611_CSCE_670_600_46627_v005.md"", ""202611_CSCE_670_600_46627_v005.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step2_boilerplate/202611_CSCE_670_600_46627_v005.md"", ""202611_CSCE_670_600_46627_v005.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step2_boilerplate/202611_CSCE_670_600_46627_v005_stripped.md"", ""202611_CSCE_670_600_46627_v005_stripped.md"")",16,2838,1723,62.2,"[DEPT_HEADER] College of Engineering | [DEPT_HEADER] Computer Science and Engineering | [TECH_SUPPORT] Technology Support | [TECH_SUPPORT] Canvas LMS Technical Support | [TAMU_POLICY] University Policies | [TAMU_POLICY] Academic Integrity Statement and Policy | [TAMU_POLICY] University Attendance Policy | [TAMU_POLICY] Makeup Work Policy | [TAMU_POLICY] Notice of Nondiscrimination | [TAMU_POLICY] Civil Rights, Free Speech, and Title IX Policies | [TAMU_POLICY] Americans with Disabilities Act (ADA) Policy | [TAMU_POLICY] Pregnancy Accommodations | [TAMU_POLICY] Statement on Mental Health and Wellness | [TAMU_POLICY] Statement on the Family Educational Rights and | [TAMU_POLICY] Privacy Act (FERPA) | [TAMU_POLICY] Free Speech and Civil Discourse",Grading Policy | Late Work Policy | Course Specific Late Work Policy | Support is available by clicking the Help button at the far left in the Canvas global | Canvas Resources are also linked on the home page of every Canvas course.,500,Americans with Disabilities Act (ADA) Policy,5,College of Engineering,"TAMU_POLICY:12,DEPT_HEADER:2,TECH_SUPPORT:2",ok,2026-03-10T05:57:19.832776
v005,202541_CSCE_605_600_62077_v005.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step1_markdown/202541_CSCE_605_600_62077_v005.md"", ""202541_CSCE_605_600_62077_v005.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step2_boilerplate/202541_CSCE_605_600_62077_v005.md"", ""202541_CSCE_605_600_62077_v005.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step2_boilerplate/202541_CSCE_605_600_62077_v005_stripped.md"", ""202541_CSCE_605_600_62077_v005_stripped.md"")",15,2710,7230,27.3,"[DEPT_HEADER] College of Engineering | [DEPT_HEADER] Computer Science and Engineering | [TECH_SUPPORT] Learning Resources | [TAMU_POLICY] University Policies | [TAMU_POLICY] University Attendance Policy | [TAMU_POLICY] Makeup Work Policy | [TAMU_POLICY] Academic Integrity Statement and Policy | [TAMU_POLICY] Notice of Nondiscrimination | [TAMU_POLICY] Civil Rights, Free Speech, and Title IX Policies | [TAMU_POLICY] Americans with Disabilities Act (ADA) Policy | [TAMU_POLICY] Pregnancy Accommodations | [TAMU_POLICY] Statement on Mental Health and Wellness | [TAMU_POLICY] Statement on the Family Educational Rights and | [TAMU_POLICY] Privacy Act (FERPA) | [TAMU_POLICY] Free Speech and Civil Discourse",Grading Policy | Makeup Exam Policy | Incomplete Grade Policy | Deviations from the grading policy | Late Work Policy | Course Specific Late Work Policy | Course Material Policy,500,Americans with Disabilities Act (ADA) Policy,4,Learning Resources,"TAMU_POLICY:12,DEPT_HEADER:2,TECH_SUPPORT:1",ok,2026-03-10T05:57:20.275795
v005,202541_ISEN_620_601_52745_v005.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step1_markdown/202541_ISEN_620_601_52745_v005.md"", ""202541_ISEN_620_601_52745_v005.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step2_boilerplate/202541_ISEN_620_601_52745_v005.md"", ""202541_ISEN_620_601_52745_v005.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step2_boilerplate/202541_ISEN_620_601_52745_v005_stripped.md"", ""202541_ISEN_620_601_52745_v005_stripped.md"")",17,130,6065,2.1,"[DEPT_HEADER] College of Engineering | [DEPT_HEADER] Industrial and Systems Engineering | [TECH_SUPPORT] Technology Support | [TECH_SUPPORT] Technology Services (IT) - Main Campus | [TECH_SUPPORT] Canvas LMS Technical Support | [TAMU_POLICY] University Policies | [TAMU_POLICY] University Attendance Policy | [TAMU_POLICY] Makeup Work Policy | [TAMU_POLICY] Academic Integrity Statement and Policy | [TAMU_POLICY] Notice of Nondiscrimination | [TAMU_POLICY] Civil Rights, Free Speech, and Title IX Policies | [TAMU_POLICY] Americans with Disabilities Act (ADA) Policy | [TAMU_POLICY] Pregnancy Accommodations | [TAMU_POLICY] Statement on Mental Health and Wellness | [TAMU_POLICY] Statement on the Family Educational Rights and | [TAMU_POLICY] Privacy Act (FERPA) | [TAMU_POLICY] Free Speech and Civil Discourse","on   Canvas  ( for   Windows ,  Mac ,  and   Linux ).  You   must   ensure   access | Grading Policy | Late Work Policy | Work submitted by a student as makeup work for an excused absence is not | considered late work and is exempt from the late work policy ( Student Rule 7 ). | Course Specific Late Work Policy | Support is available by clicking the Help button at the far left in the Canvas global | Canvas Resources are also linked on the home page of every Canvas course. | This section outlines the university-level policies that must be included in each | course syllabus. The TAMU Faculty Senate established the wording of these policies. | The university views class attendance and participation as an individual student | when attendance contributes to a student’s grade, for the reasons stated in | Please refer to  Student Rule 7  in its entirety for information about makeup work, | Absences related to Title IX of the Education Amendments of 1972 may necessitate | disability, genetic information, or veteran status. | complaints of discrimination, harassment (including sexual harassment), complicity, | accordance with Title IX and its implementing regulations, Texas A&M does not | regarding the non-discrimination policies: Jennifer M. Smith, TAMU Associate VP & | Title IX Coordinator at YMCA Ste 108, College Station, TX 77843, 979-458-8407, or | Education Office for Civil Rights Complaint Assessment System  to locate the | and productive for all. University policies and federal and state laws prohibit | discrimination and harassment based on an individual’s race, color, sex, (including | pregnancy and related conditions), religion, national origin, age, disability, genetic | includes forms of sex-based violence, such as sexual assault, sexual harassment, | Students can report discrimination/harassment, access supportive resources, or | Rights & Title IX webpage . | discrimination/harassment alleged to have been committed by or against a person | disability or think you may have a disability, please contact the Disability Resources | limited to, attentional, learning, mental health, sensory, physical, or chronic health | conditions. All students are encouraged to discuss their disability-related needs | with Disability Resources and their instructors as soon as possible. | To request academic accommodations, contact the designated ADA office based on | McAllen and Texas A&M University at Galveston should contact Disability | Resources at (979) 845-1637 or  disability@tamu.edu . | Affairs at (817) 212-4111 or  law-disability@law.tamu.edu  to request | accommodations. | Disability Resource Center at Texas A&M University-Kingsville at (361) 593- | 3024 or  drc.center@tamuk.edu  to request accommodations. | If you are experiencing difficulties with your approved accommodations, contact the | office responsible for approving your accommodations or the Texas A&M ADA | Coordinator Julie Kuder at  ADA.Coordinator@tamu.edu  or (979) 458-8407. | Texas A&M provides reasonable accommodations to students due to pregnancy | aware of the need for accommodation. Depending on the circumstances, | accommodations could include extended time to complete assignments or exams, | equitable resolution of complaints of sex discrimination. For information regarding | pregnancy accommodations, email  TIX.Pregnancy@tamu.edu . | Texas A&M University recognizes that mental health and wellness are critical factors | experiencing a life-threatening situation or if your safety is at risk. 24-hour | FERPA is a federal law designed to protect the privacy of educational records by | Form. The complete  FERPA Notice to Students  and the student records policy is | be made in this class to protect your privacy and to ensure confidential treatment | attendance, program of study (college, major, campus), classification, previous",12,"Civil Rights, Free Speech, and Title IX Policies",4,Technology Support,"TAMU_POLICY:12,TECH_SUPPORT:3,DEPT_HEADER:2",ok,2026-03-10T05:57:24.320363
v005,202611_ISEN_637_600_59851_v005.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step1_markdown/202611_ISEN_637_600_59851_v005.md"", ""202611_ISEN_637_600_59851_v005.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step2_boilerplate/202611_ISEN_637_600_59851_v005.md"", ""202611_ISEN_637_600_59851_v005.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step2_boilerplate/202611_ISEN_637_600_59851_v005_stripped.md"", ""202611_ISEN_637_600_59851_v005_stripped.md"")",16,2955,614,82.8,"[DEPT_HEADER] College of Engineering | [DEPT_HEADER] Industrial and Systems Engineering | [INSTITUTIONAL] Additional Course Details | [TECH_SUPPORT] Technology Support | [TAMU_POLICY] University Policies | [TAMU_POLICY] Academic Integrity Statement and Policy | [TAMU_POLICY] University Attendance Policy | [TAMU_POLICY] Makeup Work Policy | [TAMU_POLICY] Notice of Nondiscrimination | [TAMU_POLICY] Civil Rights, Free Speech, and Title IX Policies | [TAMU_POLICY] Americans with Disabilities Act (ADA) Policy | [TAMU_POLICY] Pregnancy Accommodations | [TAMU_POLICY] Statement on Mental Health and Wellness | [TAMU_POLICY] Statement on the Family Educational Rights and | [TAMU_POLICY] Privacy Act (FERPA) | [TAMU_POLICY] Free Speech and Civil Discourse",Grading Policy | Late Work Policy | Course Specific Late Work Policy,500,Americans with Disabilities Act (ADA) Policy,5,College of Engineering,"TAMU_POLICY:12,DEPT_HEADER:2,INSTITUTIONAL:1,TECH_SUPPORT:1",ok,2026-03-10T05:57:28.504177
