stem,version,course_id,crn,section,file_size_kb,s0_status,source_pdf,page_count,body_font_size_pt,annotated_lines,plain_lines,annotated_tokens,s1_status,s1_md_file,sections_stripped,tokens_stripped,tokens_remaining,reduction_pct,reduction_notes,strip_type_counts,stripped_headers,new_bp_candidates,s2_status,s2_md_file,input_tokens,chunk_count,avg_chunk_tokens,chunk_size_setting,overlap_setting,llm_status,llm_error,s3_status,s3_json_file,processed_at,validation_feedback
202611_CSCE_482_931_37075,v010,CSCE 482,37075,931,377.6,ok,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_CSCE_482_931_37075.pdf"", ""202611_CSCE_482_931_37075.pdf"")",23,11.0,80,562,10030,ok,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step1_markdown/202611_CSCE_482_931_37075_v010.md"", ""202611_CSCE_482_931_37075_v010.md"")",17,3045,6938,30.5,"re-processed 2026-03-11 with updated stripper — no change (30.5%); low reduction is expected: 6938 tokens remaining is genuine course content, not missed boilerplate","TAMU_POLICY:12,DEPT_HEADER:2,TECH_SUPPORT:2,INSTITUTIONAL:1","[DEPT_HEADER] College of Engineering | [DEPT_HEADER] Computer Science and Engineering | [INSTITUTIONAL] Course Copyright | [TECH_SUPPORT] Technology Support | [TECH_SUPPORT] Canvas LMS Technical Support | [TAMU_POLICY] University Policies | [TAMU_POLICY] Academic Integrity Statement and Policy | [TAMU_POLICY] University Attendance Policy | [TAMU_POLICY] Makeup Work Policy | [TAMU_POLICY] Notice of Nondiscrimination | [TAMU_POLICY] Civil Rights, Free Speech, and Title IX Policies | [TAMU_POLICY] Americans with Disabilities Act (ADA) Policy | [TAMU_POLICY] Pregnancy Accommodations | [TAMU_POLICY] Statement on Mental Health and Wellness | [TAMU_POLICY] Statement on the Family Educational Rights and | [TAMU_POLICY] Privacy Act (FERPA) | [TAMU_POLICY] Free Speech and Civil Discourse",7 candidates,ok,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step2_boilerplate/202611_CSCE_482_931_37075_v010.md"", ""202611_CSCE_482_931_37075_v010.md"")",6794,12,659,600,100,ok,,ok,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202611_CSCE_482_931_37075_v010.json"", ""202611_CSCE_482_931_37075_v010.json"")",2026-03-11T02:44:27.004575,
202611_CSCE_482_932_37076,v010,CSCE 482,37076,932,377.5,ok,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_CSCE_482_932_37076.pdf"", ""202611_CSCE_482_932_37076.pdf"")",23,11.0,80,562,10030,ok,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step1_markdown/202611_CSCE_482_932_37076_v010.md"", ""202611_CSCE_482_932_37076_v010.md"")",17,3045,6937,30.5,"re-processed 2026-03-11 with updated stripper — no change (30.5%); low reduction is expected: 6937 tokens remaining is genuine course content, not missed boilerplate","TAMU_POLICY:12,DEPT_HEADER:2,TECH_SUPPORT:2,INSTITUTIONAL:1","[DEPT_HEADER] College of Engineering | [DEPT_HEADER] Computer Science and Engineering | [INSTITUTIONAL] Course Copyright | [TECH_SUPPORT] Technology Support | [TECH_SUPPORT] Canvas LMS Technical Support | [TAMU_POLICY] University Policies | [TAMU_POLICY] Academic Integrity Statement and Policy | [TAMU_POLICY] University Attendance Policy | [TAMU_POLICY] Makeup Work Policy | [TAMU_POLICY] Notice of Nondiscrimination | [TAMU_POLICY] Civil Rights, Free Speech, and Title IX Policies | [TAMU_POLICY] Americans with Disabilities Act (ADA) Policy | [TAMU_POLICY] Pregnancy Accommodations | [TAMU_POLICY] Statement on Mental Health and Wellness | [TAMU_POLICY] Statement on the Family Educational Rights and | [TAMU_POLICY] Privacy Act (FERPA) | [TAMU_POLICY] Free Speech and Civil Discourse",7 candidates,ok,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step2_boilerplate/202611_CSCE_482_932_37076_v010.md"", ""202611_CSCE_482_932_37076_v010.md"")",6793,12,659,600,100,ok,,ok,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202611_CSCE_482_932_37076_v010.json"", ""202611_CSCE_482_932_37076_v010.json"")",2026-03-11T02:44:18.849973,
202611_CSCE_482_940_60096,v010,CSCE 482,60096,940,417.5,ok,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_CSCE_482_940_60096.pdf"", ""202611_CSCE_482_940_60096.pdf"")",23,11.0,180,489,10074,ok,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step1_markdown/202611_CSCE_482_940_60096_v010.md"", ""202611_CSCE_482_940_60096_v010.md"")",24,3704,6297,37.0,"issue: Course Copyright at [11.0pt bold] (body-level bold, not structural) + Galveston-campus TAMU policies not stripped; solution: registry-match force-section + added Galveston/plural variants; result: 37.0% (was 30.2%)","TAMU_POLICY:16,TECH_SUPPORT:4,DEPT_HEADER:3,INSTITUTIONAL:1","[DEPT_HEADER] College of Engineering | [DEPT_HEADER] Computer Science and Engineering | [INSTITUTIONAL] Course Copyright | [TECH_SUPPORT] Technology Support | [TECH_SUPPORT] Canvas LMS Technical Support | [TECH_SUPPORT] Learning Resources | [TECH_SUPPORT] Learning Resources | [DEPT_HEADER] Texas A&M at Galveston | [TAMU_POLICY] College and Department Policies | [TAMU_POLICY] Additional University Policies for the Galveston Campus | [TAMU_POLICY] Academic Integrity Statements and Policy | [TAMU_POLICY] Statement on Mental Health and Wellness | [TAMU_POLICY] University Policies | [TAMU_POLICY] Academic Integrity Statement and Policy | [TAMU_POLICY] University Attendance Policy | [TAMU_POLICY] Makeup Work Policy | [TAMU_POLICY] Notice of Nondiscrimination | [TAMU_POLICY] Civil Rights, Free Speech, and Title IX Policies | [TAMU_POLICY] Americans with Disabilities Act (ADA) Policy | [TAMU_POLICY] Pregnancy Accommodations | [TAMU_POLICY] Statement on Mental Health and Wellness | [TAMU_POLICY] Statement on the Family Educational Rights and | [TAMU_POLICY] Privacy Act (FERPA) | [TAMU_POLICY] Free Speech and Civil Discourse",17 candidates,ok,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step2_boilerplate/202611_CSCE_482_940_60096_v010.md"", ""202611_CSCE_482_940_60096_v010.md"")",5883,10,682,600,100,ok,,ok,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202611_CSCE_482_940_60096_v010.json"", ""202611_CSCE_482_940_60096_v010.json"")",2026-03-11T02:44:09.484856,
202541_CSCE_430_550_58423,v010,CSCE 430,58423,550,309.0,ok,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_430_550_58423.pdf"", ""202541_CSCE_430_550_58423.pdf"")",12,9.5,90,317,6824,ok,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step1_markdown/202541_CSCE_430_550_58423_v010.md"", ""202541_CSCE_430_550_58423_v010.md"")",15,2815,3968,41.5,issue: FERPA header split as 'Statement...Privacy Act' + '(FERPA)' — neither half matched registry; solution: added exact split variants to TAMU_POLICY registry; result: 41.5% (was 36.3%),"TAMU_POLICY:12,DEPT_HEADER:2,TECH_SUPPORT:1","[DEPT_HEADER] College of Engineering | [DEPT_HEADER] Computer Science and Engineering | [TECH_SUPPORT] Technology Support | [TAMU_POLICY] University Policies | [TAMU_POLICY] University Attendance Policy | [TAMU_POLICY] Makeup Work Policy | [TAMU_POLICY] Academic Integrity Statement and Policy | [TAMU_POLICY] Notice of Nondiscrimination | [TAMU_POLICY] Civil Rights, Free Speech, and Title IX Policies | [TAMU_POLICY] Americans with Disabilities Act (ADA) Policy | [TAMU_POLICY] Pregnancy Accommodations | [TAMU_POLICY] Statement on Mental Health and Wellness | [TAMU_POLICY] Statement on the Family Educational Rights and Privacy Act | [TAMU_POLICY] (FERPA) | [TAMU_POLICY] Free Speech and Civil Discourse",4 candidates,ok,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step2_boilerplate/202541_CSCE_430_550_58423_v010.md"", ""202541_CSCE_430_550_58423_v010.md"")",3803,7,633,600,100,ok,,ok,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202541_CSCE_430_550_58423_v010.json"", ""202541_CSCE_430_550_58423_v010.json"")",2026-03-11T02:39:44.123342,
202611_CSCE_331_906_50595,v010,CSCE 331,50595,906,474.2,ok,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_CSCE_331_906_50595.pdf"", ""202611_CSCE_331_906_50595.pdf"")",24,13.0,367,473,9959,ok,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step1_markdown/202611_CSCE_331_906_50595_v010.md"", ""202611_CSCE_331_906_50595_v010.md"")",25,5474,4413,55.4,issue: sub-headers at 10.5pt bold below 13pt body — same as 908; solution: force new section on registry match; result: 55.4% (was 37.3%),"TAMU_POLICY:13,TECH_SUPPORT:8,DEPT_HEADER:2,INSTITUTIONAL:2","[DEPT_HEADER] College of Engineering | [DEPT_HEADER] Computer Science and Engineering | [INSTITUTIONAL] Accessibility Statement | [TAMU_POLICY] Non-Discrimination Policy | [INSTITUTIONAL] Plagiarism and Copyright | [TECH_SUPPORT] Technology Support | [TECH_SUPPORT] Technology Services (IT) - Main Campus | [TECH_SUPPORT] Canvas LMS Technical Support | [TECH_SUPPORT] Gradescope Technical Support | [TECH_SUPPORT] Perusall Technical Support | [TECH_SUPPORT] Peerceptiv Technical Support | [TECH_SUPPORT] GitHub Technical Support | [TECH_SUPPORT] Learning Resources | [TAMU_POLICY] University Policies | [TAMU_POLICY] Academic Integrity Statement and Policy | [TAMU_POLICY] University Attendance Policy | [TAMU_POLICY] Makeup Work Policy | [TAMU_POLICY] Notice of Nondiscrimination | [TAMU_POLICY] Civil Rights, Free Speech, and Title IX Policies | [TAMU_POLICY] Americans with Disabilities Act (ADA) Policy | [TAMU_POLICY] Pregnancy Accommodations | [TAMU_POLICY] Statement on Mental Health and Wellness | [TAMU_POLICY] Statement on the Family Educational Rights and | [TAMU_POLICY] Privacy Act (FERPA) | [TAMU_POLICY] Free Speech and Civil Discourse",9 candidates,ok,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step2_boilerplate/202611_CSCE_331_906_50595_v010.md"", ""202611_CSCE_331_906_50595_v010.md"")",4216,7,705,600,100,ok,,ok,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202611_CSCE_331_906_50595_v010.json"", ""202611_CSCE_331_906_50595_v010.json"")",2026-03-11T02:39:36.166461,
202611_CSCE_331_907_50596,v010,CSCE 331,50596,907,477.6,ok,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_CSCE_331_907_50596.pdf"", ""202611_CSCE_331_907_50596.pdf"")",25,13.0,368,473,9972,ok,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step1_markdown/202611_CSCE_331_907_50596_v010.md"", ""202611_CSCE_331_907_50596_v010.md"")",25,5474,4426,55.3,issue: sub-headers at 10.5pt bold below 13pt body — same as 908; solution: force new section on registry match; result: 55.3% (was 37.3%),"TAMU_POLICY:13,TECH_SUPPORT:8,DEPT_HEADER:2,INSTITUTIONAL:2","[DEPT_HEADER] College of Engineering | [DEPT_HEADER] Computer Science and Engineering | [INSTITUTIONAL] Accessibility Statement | [TAMU_POLICY] Non-Discrimination Policy | [INSTITUTIONAL] Plagiarism and Copyright | [TECH_SUPPORT] Technology Support | [TECH_SUPPORT] Technology Services (IT) - Main Campus | [TECH_SUPPORT] Canvas LMS Technical Support | [TECH_SUPPORT] Gradescope Technical Support | [TECH_SUPPORT] Perusall Technical Support | [TECH_SUPPORT] Peerceptiv Technical Support | [TECH_SUPPORT] GitHub Technical Support | [TECH_SUPPORT] Learning Resources | [TAMU_POLICY] University Policies | [TAMU_POLICY] Academic Integrity Statement and Policy | [TAMU_POLICY] University Attendance Policy | [TAMU_POLICY] Makeup Work Policy | [TAMU_POLICY] Notice of Nondiscrimination | [TAMU_POLICY] Civil Rights, Free Speech, and Title IX Policies | [TAMU_POLICY] Americans with Disabilities Act (ADA) Policy | [TAMU_POLICY] Pregnancy Accommodations | [TAMU_POLICY] Statement on Mental Health and Wellness | [TAMU_POLICY] Statement on the Family Educational Rights and | [TAMU_POLICY] Privacy Act (FERPA) | [TAMU_POLICY] Free Speech and Civil Discourse",9 candidates,ok,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step2_boilerplate/202611_CSCE_331_907_50596_v010.md"", ""202611_CSCE_331_907_50596_v010.md"")",4227,7,706,600,100,ok,,ok,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202611_CSCE_331_907_50596_v010.json"", ""202611_CSCE_331_907_50596_v010.json"")",2026-03-11T02:39:24.711352,
202611_CSCE_331_908_54735,v010,CSCE 331,54735,908,477.6,ok,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_CSCE_331_908_54735.pdf"", ""202611_CSCE_331_908_54735.pdf"")",25,13.0,368,473,9972,ok,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step1_markdown/202611_CSCE_331_908_54735_v010.md"", ""202611_CSCE_331_908_54735_v010.md"")",25,5474,4426,55.3,"issue: sub-headers at 10.5pt bold below 13pt body — Accessibility Statement, Preferred Name, Non-Discrimination Policy not structural; solution: force new section when annotated text matches registry; result: 55.3% (was 37.3%)","TAMU_POLICY:13,TECH_SUPPORT:8,DEPT_HEADER:2,INSTITUTIONAL:2","[DEPT_HEADER] College of Engineering | [DEPT_HEADER] Computer Science and Engineering | [INSTITUTIONAL] Accessibility Statement | [TAMU_POLICY] Non-Discrimination Policy | [INSTITUTIONAL] Plagiarism and Copyright | [TECH_SUPPORT] Technology Support | [TECH_SUPPORT] Technology Services (IT) - Main Campus | [TECH_SUPPORT] Canvas LMS Technical Support | [TECH_SUPPORT] Gradescope Technical Support | [TECH_SUPPORT] Perusall Technical Support | [TECH_SUPPORT] Peerceptiv Technical Support | [TECH_SUPPORT] GitHub Technical Support | [TECH_SUPPORT] Learning Resources | [TAMU_POLICY] University Policies | [TAMU_POLICY] Academic Integrity Statement and Policy | [TAMU_POLICY] University Attendance Policy | [TAMU_POLICY] Makeup Work Policy | [TAMU_POLICY] Notice of Nondiscrimination | [TAMU_POLICY] Civil Rights, Free Speech, and Title IX Policies | [TAMU_POLICY] Americans with Disabilities Act (ADA) Policy | [TAMU_POLICY] Pregnancy Accommodations | [TAMU_POLICY] Statement on Mental Health and Wellness | [TAMU_POLICY] Statement on the Family Educational Rights and | [TAMU_POLICY] Privacy Act (FERPA) | [TAMU_POLICY] Free Speech and Civil Discourse",9 candidates,ok,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step2_boilerplate/202611_CSCE_331_908_54735_v010.md"", ""202611_CSCE_331_908_54735_v010.md"")",4227,7,706,600,100,ok,,ok,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202611_CSCE_331_908_54735_v010.json"", ""202611_CSCE_331_908_54735_v010.json"")",2026-03-11T02:39:15.498186,
202611_CSCE_713_600_58633,v010,CSCE 713,58633,600,316.9,ok,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260304/202611_CSCE_713_600_58633.pdf"", ""202611_CSCE_713_600_58633.pdf"")",16,11.0,352,266,5824,ok,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step1_markdown/202611_CSCE_713_600_58633_v010.md"", ""202611_CSCE_713_600_58633_v010.md"")",15,2818,2965,48.7,"issue: body_font_misdetect (10pt detected as body, 11pt content treated as headers — only 130 tokens stripped); solution: char-weighted body size detection in pdf_to_annotated_markdown; result: 48.7% (was 2.3%)","TAMU_POLICY:12,DEPT_HEADER:2,TECH_SUPPORT:1","[DEPT_HEADER] College of Engineering | [DEPT_HEADER] Computer Science and Engineering | [TECH_SUPPORT] Technology Support | [TAMU_POLICY] University Policies | [TAMU_POLICY] Academic Integrity Statement and Policy | [TAMU_POLICY] University Attendance Policy | [TAMU_POLICY] Makeup Work Policy | [TAMU_POLICY] Notice of Nondiscrimination | [TAMU_POLICY] Civil Rights, Free Speech, and Title IX Policies | [TAMU_POLICY] Americans with Disabilities Act (ADA) Policy | [TAMU_POLICY] Pregnancy Accommodations | [TAMU_POLICY] Statement on Mental Health and Wellness | [TAMU_POLICY] Statement on the Family Educational Rights and | [TAMU_POLICY] Privacy Act (FERPA) | [TAMU_POLICY] Free Speech and Civil Discourse",3 candidates,ok,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step2_boilerplate/202611_CSCE_713_600_58633_v010.md"", ""202611_CSCE_713_600_58633_v010.md"")",2190,4,651,600,100,ok,,ok,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202611_CSCE_713_600_58633_v010.json"", ""202611_CSCE_713_600_58633_v010.json"")",2026-03-11T02:15:16.702194,
202611_CSCE_413_500_59868,v010,CSCE 413,59868,500,362.2,ok,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_CSCE_413_500_59868.pdf"", ""202611_CSCE_413_500_59868.pdf"")",16,11.0,363,265,5934,ok,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step1_markdown/202611_CSCE_413_500_59868_v010.md"", ""202611_CSCE_413_500_59868_v010.md"")",15,2957,2936,50.2,"issue: body_font_misdetect (10pt detected as body, 11pt content treated as headers — only 130 tokens stripped); solution: char-weighted body size detection in pdf_to_annotated_markdown; result: 50.2% (was 2.2%)","TAMU_POLICY:12,DEPT_HEADER:2,TECH_SUPPORT:1","[DEPT_HEADER] College of Engineering | [DEPT_HEADER] Computer Science and Engineering | [TECH_SUPPORT] Technology Support | [TAMU_POLICY] University Policies | [TAMU_POLICY] Academic Integrity Statement and Policy | [TAMU_POLICY] University Attendance Policy | [TAMU_POLICY] Makeup Work Policy | [TAMU_POLICY] Notice of Nondiscrimination | [TAMU_POLICY] Civil Rights, Free Speech, and Title IX Policies | [TAMU_POLICY] Americans with Disabilities Act (ADA) Policy | [TAMU_POLICY] Pregnancy Accommodations | [TAMU_POLICY] Statement on Mental Health and Wellness | [TAMU_POLICY] Statement on the Family Educational Rights and | [TAMU_POLICY] Privacy Act (FERPA) | [TAMU_POLICY] Free Speech and Civil Discourse",3 candidates,ok,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step2_boilerplate/202611_CSCE_413_500_59868_v010.md"", ""202611_CSCE_413_500_59868_v010.md"")",2161,4,646,600,100,ok,,ok,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202611_CSCE_413_500_59868_v010.json"", ""202611_CSCE_413_500_59868_v010.json"")",2026-03-11T02:11:36.902557,
202611_ISEN_625_600_55586,v010,ISEN 625,55586,600,253.5,ok,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_ISEN_625_600_55586.pdf"", ""202611_ISEN_625_600_55586.pdf"")",14,11.0,338,288,5953,ok,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step1_markdown/202611_ISEN_625_600_55586_v010.md"", ""202611_ISEN_625_600_55586_v010.md"")",15,3061,2851,51.8,"issue: body_font_misdetect (10pt detected as body, 11pt content treated as headers — only 130 tokens stripped); solution: char-weighted body size detection in pdf_to_annotated_markdown; result: 51.8% (was 2.2%)","TAMU_POLICY:12,DEPT_HEADER:2,TECH_SUPPORT:1","[DEPT_HEADER] College of Engineering | [DEPT_HEADER] Industrial and Systems Engineering | [TECH_SUPPORT] Technology Support | [TAMU_POLICY] University Policies | [TAMU_POLICY] Academic Integrity Statement and Policy | [TAMU_POLICY] University Attendance Policy | [TAMU_POLICY] Makeup Work Policy | [TAMU_POLICY] Notice of Nondiscrimination | [TAMU_POLICY] Civil Rights, Free Speech, and Title IX Policies | [TAMU_POLICY] Americans with Disabilities Act (ADA) Policy | [TAMU_POLICY] Pregnancy Accommodations | [TAMU_POLICY] Statement on Mental Health and Wellness | [TAMU_POLICY] Statement on the Family Educational Rights and | [TAMU_POLICY] Privacy Act (FERPA) | [TAMU_POLICY] Free Speech and Civil Discourse",2 candidates,ok,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step2_boilerplate/202611_ISEN_625_600_55586_v010.md"", ""202611_ISEN_625_600_55586_v010.md"")",2118,4,632,600,100,ok,,ok,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202611_ISEN_625_600_55586_v010.json"", ""202611_ISEN_625_600_55586_v010.json"")",2026-03-11T02:11:18.368924,
